Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |               0               1               2               3               4               5               6               7               8               9
--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------
      0 | (247, 75)=80215 (245, 75)=    0 (245, 75)=    0 (241, 75)=    0 (239, 75)=    0 (237, 75)=    0 (234, 75)=    0 (232, 75)=    0 (230, 75)=    0 (228, 75)=    0 
      1 | ( 94,132)=78604 ( 91,132)=    0 ( 91,132)=    0 ( 85,132)=    0 ( 82,132)=    0 ( 79,132)=    0 ( 76,131)=    0 ( 73,131)=    0 ( 71,131)=    0 ( 68,131)=    0 
      2 | ( 94,122)=74360 ( 91,122)=    0 ( 91,122)=    0 ( 85,122)=    0 ( 82,122)=    0 ( 79,122)=    0 ( 76,122)=    0 ( 73,121)=    0 ( 71,121)=    0 ( 68,121)=    0 
      3 | (106,127)=72622 (103,127)=    0 (103,127)=    0 ( 97,127)=    0 ( 94,127)=    0 ( 91,127)=    0 ( 89,127)=    0 ( 86,127)=    0 ( 83,127)=    0 ( 80,127)=    0 
      4 | (246, 85)=61637 (244, 85)=    0 (244, 85)=    0 (240, 85)=    0 (238, 85)=    0 (236, 85)=    0 (233, 84)=    0 (231, 84)=    0 (229, 84)=    0 (227, 84)=    0 
      5 | (295, 98)=56093 (291, 98)=    0 (291, 98)=    0 (283, 98)=    0 (279, 98)=    0 (274, 98)=    0 (270, 98)=    0 (266, 98)=    0 (262, 98)=    0 (258, 98)=    0 
      6 | ( 96,215)=55524 ( 92,215)=    0 ( 92,215)=    0 ( 83,215)=    0 ( 79,215)=    0 ( 75,215)=    0 ( 70,215)=    0 ( 66,215)=    0 ( 62,215)=    0 ( 58,215)=    0 
      7 | (295, 87)=53710 (291, 87)=    0 (291, 87)=    0 (283, 86)=    0 (279, 86)=    0 (274, 86)=    0 (270, 86)=    0 (266, 87)=    0 (262, 87)=    0 (258, 87)=    0 
      8 | (285, 79)=48522 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
      9 | (115,116)=48050 (112,116)=    0 (112,116)=    0 (106,116)=    0 (103,116)=    0 (100,116)=    0 ( 98,116)=    0 ( 95,116)=    0 ( 92,116)=    0 ( 89,116)=    0 
     10 | (295,108)=46381 (291,108)=    0 (291,108)=    0 (283,108)=    0 (279,108)=    0 (274,108)=    0 (270,108)=    0 (266,108)=    0 (262,108)=    0 (258,108)=    0 
     11 | (115,137)=45009 (112,137)=    0 (112,137)=    0 (106,137)=    0 (104,137)=    0 (101,137)=    0 ( 98,137)=    0 ( 95,137)=    0 ( 92,137)=    0 ( 90,138)=    0 
     12 | ( 26,139)=42990 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     13 | ( 33,169)=42589 ( 29,169)=    0 ( 29,169)=    0 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     14 | ( 90, 76)=41511 ( 85, 76)=    0 ( 85, 76)=    0 ( 76, 76)=    0 ( 72, 76)=    0 ( 67, 77)=    0 ( 63, 77)=    0 ( 58, 77)=    0 ( 54, 77)=    0 ( 50, 77)=    0 
     15 | ( 27,149)=40650 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     16 | (145, 62)=40299 (143, 62)=    0 (143, 62)=    0 (139, 62)=    0 (136, 62)=    0 (134, 62)=    0 (132, 62)=    0 (130, 62)=    0 (128, 62)=    0 (126, 62)=    0 
     17 | ( 32,159)=39102 ( 28,159)=    0 ( 28,159)=    0 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     18 | ( 94,205)=38661 ( 90,205)=    0 ( 90,205)=    0 ( 81,205)=    0 ( 76,205)=    0 ( 72,205)=    0 ( 68,205)=    0 ( 63,206)=    0 ( 59,206)=    0 ( 55,206)=    0 
     19 | ( 34,189)=38380 ( 30,189)=    0 ( 30,189)=    0 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     20 | ( 33,179)=37963 ( 29,179)=    0 ( 29,179)=    0 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     21 | (128,203)=37834 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
     22 | (272, 99)=36078 (270, 99)=    0 (270, 99)=    0 (266, 99)=    0 (263, 99)=    0 (261,100)=    0 (259,100)=    0 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
     23 | (259,156)=35933 (256,156)=    0 (256,156)=    0 (250,156)=    0 (247,156)=    0 (244,156)=    0 (240,156)=    0 (237,156)=    0 (234,156)=    0 (231,156)=    0 
     24 | (287,163)=35488 (283,163)=    0 (283,163)=    0 (275,162)=    0 (271,162)=    0 (268,162)=    0 (264,162)=    0 (260,162)=    0 (256,162)=    0 (252,161)=    0 
     25 | (273, 80)=34699 (271, 80)=    0 (271, 80)=    0 (267, 80)=    0 (265, 80)=    0 (262, 80)=    0 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
     26 | (286,182)=32861 (282,182)=    0 (282,182)=    0 (275,182)=    0 (271,181)=    0 (267,181)=    0 (263,181)=    0 (260,181)=    0 (256,181)=    0 (252,181)=    0 
     27 | (285,193)=32627 (281,193)=    0 (281,193)=    0 (274,193)=    0 (270,193)=    0 (266,193)=    0 (262,192)=    0 (259,192)=    0 (255,192)=    0 (251,192)=    0 
     28 | (282,151)=32582 (278,151)=    0 (278,151)=    0 (271,151)=    0 (267,151)=    0 (263,150)=    0 (259,150)=    0 (255,150)=    0 (251,150)=    0 (248,150)=    0 
     29 | (256,168)=31806 (253,168)=    0 (253,168)=    0 (246,168)=    0 (243,168)=    0 (240,168)=    0 (236,168)=    0 (233,168)=    0 (230,169)=    0 (227,169)=    0 
     30 | (263, 88)=31282 (261, 88)=    0 (261, 88)=    0 (257, 88)=    0 (255, 88)=    0 (253, 88)=    0 (251, 88)=    0 (248, 88)=    0 (246, 88)=    0 (244, 88)=    0 
     31 | (260, 74)=30631 (258, 74)=    0 (258, 74)=    0 (254, 74)=    0 (252, 74)=    0 (250, 74)=    0 (248, 74)=    0 (245, 74)=    0 (243, 74)=    0 (241, 74)=    0 
     32 | (105,117)=30137 (102,117)=    0 (102,117)=    0 ( 96,117)=    0 ( 93,117)=    0 ( 90,117)=    0 ( 87,117)=    0 ( 85,117)=    0 ( 82,117)=    0 ( 79,117)=    0 
     33 | ( 91, 86)=29976 ( 86, 86)=    0 ( 86, 86)=    0 ( 77, 86)=    0 ( 73, 86)=    0 ( 68, 87)=    0 ( 64, 87)=    0 ( 59, 87)=    0 ( 55, 87)=    0 ( 51, 87)=    0 
     34 | (262,100)=29531 (260,100)=    0 (260,100)=    0 (256,100)=    0 (254,100)=    0 (252,100)=    0 (250,100)=    0 (248,100)=    0 (245,100)=    0 (243,101)=    0 
     35 | ( 82, 24)=28727 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     36 | ( 30,199)=28427 ( 26,199)=    0 ( 26,199)=    0 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     37 | ( 31,215)=28085 ( 27,215)=    0 ( 27,215)=    0 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 ( -1, -1)=   -4 
     38 | (105,137)=27738 (102,137)=    0 (102,137)=    0 ( 96,137)=    0 ( 93,137)=    0 ( 90,137)=    0 ( 87,137)=    0 ( 85,137)=    0 ( 82,137)=    0 ( 79,137)=    0 
     39 | (137,145)=27727 (134,145)=    0 (134,145)=    0 (129,146)=    0 (126,146)=    0 (123,146)=    0 (121,146)=    0 (118,146)=    0 (115,147)=    0 (113,147)=    0 
     40 | (157, 62)=27259 (155, 62)=    0 (155, 62)=    0 (151, 62)=    0 (148, 62)=    0 (146, 62)=    0 (144, 62)=    0 (142, 62)=    0 (140, 62)=    0 (138, 62)=    0 
     41 | (285, 89)=26789 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
     42 | (136,125)=26323 (133,125)=    0 (133,125)=    0 (128,125)=    0 (125,125)=    0 (122,126)=    0 (120,126)=    0 (117,126)=    0 (114,126)=    0 (111,126)=    0 
     43 | (259,146)=25959 (255,146)=    0 (255,146)=    0 (249,146)=    0 (246,146)=    0 (243,146)=    0 (240,146)=    0 (237,146)=    0 (234,146)=    0 (231,146)=    0 
     44 | ( 95,195)=24704 ( 91,195)=    0 ( 91,195)=    0 ( 82,195)=    0 ( 77,195)=    0 ( 73,195)=    0 ( 69,195)=    0 ( 64,195)=    0 ( 60,196)=    0 ( 56,196)=    0 
     45 | (219,197)=23162 (214,197)=    0 (214,197)=    0 (203,197)=    0 (198,197)=    0 (192,198)=    0 (187,198)=    0 (182,198)=    0 (176,198)=    0 (171,198)=    0 
     46 | (257,178)=23162 (254,178)=    0 (254,178)=    0 (247,178)=    0 (244,178)=    0 (240,178)=    0 (237,178)=    0 (234,178)=    0 (230,178)=    0 (227,178)=    0 
     47 | (220,212)=23069 (214,212)=    0 (214,212)=    0 (202,212)=    0 (196,212)=    0 (190,212)=    0 (184,212)=    0 (179,212)=    0 (173,212)=    0 (167,212)=    0 
     48 | (171,190)=22195 (166,190)=    0 (166,190)=    0 (157,190)=    0 (152,190)=    0 (148,190)=    0 (143,190)=    0 (138,190)=    0 (134,190)=    0 (129,189)=    0 
     49 | (208,189)=21353 (203,189)=    0 (203,189)=    0 (193,189)=    0 (188,189)=    0 (183,189)=    0 (178,190)=    0 (173,190)=    0 (168,190)=    0 (163,190)=    0 
     50 | (244, 96)=21265 (240, 96)=    0 (240, 96)=    0 (233, 96)=    0 (229, 96)=    0 (226, 96)=    0 (222, 96)=    0 (219, 96)=    0 (215, 96)=    0 (211, 96)=    0 
     51 | (142,169)=21096 (138,169)=    0 (138,169)=    0 (131,169)=    0 (128,169)=    0 (124,169)=    0 (120,169)=    0 (117,170)=    0 (113,170)=    0 (110,170)=    0 
     52 | (150,123)=20358 (148,123)=    0 (148,123)=    0 (143,123)=    0 (141,123)=    0 (139,124)=    0 (137,124)=    0 (135,124)=    0 (133,124)=    0 (131,124)=    0 
     53 | (148,150)=19983 (144,150)=    0 (144,150)=    0 (137,151)=    0 (133,151)=    0 (130,151)=    0 (126,151)=    0 (122,151)=    0 (119,151)=    0 (115,152)=    0 
     54 | (277,208)=19110 (272,208)=    0 (272,208)=    0 (262,208)=    0 (257,208)=    0 (252,207)=    0 (247,207)=    0 (242,207)=    0 (237,207)=    0 (232,207)=    0 
     55 | ( 94,149)=18880 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 ( -1, -1)=   -5 
     56 | (289,209)=18830 (284,209)=    0 (284,209)=    0 (274,209)=    0 (269,209)=    0 (264,209)=    0 (259,209)=    0 (254,208)=    0 (249,208)=    0 (244,208)=    0 
     57 | (137,135)=18385 (134,135)=    0 (134,135)=    0 (129,135)=    0 (126,136)=    0 (123,136)=    0 (121,136)=    0 (118,136)=    0 (115,136)=    0 (113,137)=    0 
