Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 100

feature | (x,y)=val
--------+---------------------
      0 | ( 86.0, 71.0)=    0 
      1 | ( 25.0,137.0)=    0 
      2 | (257.0, 97.0)=    0 
      3 | (247.0, 89.0)=    0 
      4 | (274.0, 73.0)=    0 
      5 | ( 98.0,138.0)=    0 
      6 | (281.0,146.0)=    0 
      7 | (261.0, 73.0)=    0 
      8 | (241.0, 72.0)=    0 
      9 | ( 98.0,117.0)=    0 
     10 | (271.0, 92.0)=    0 
     11 | (260.0,145.0)=    0 
     12 | (251.0, 73.0)=    0 
     13 | (290.0,196.0)=    0 
     14 | (150.0,122.0)=    0 
     15 | (292.0, 84.0)=    0 
     16 | (284.0, 74.0)=    0 
     17 | (138.0,122.0)=    0 
     18 | (173.0,189.0)=    0 
     19 | (111.0,112.0)=    0 
     20 | (282.0, 89.0)=    0 
     21 | (112.0,141.0)=    0 
     22 | (258.0,109.0)=    0 
     23 | ( 94.0,166.0)=    0 
     24 | ( 92.0, 90.0)=    0 
     25 | (291.0,113.0)=    0 
     26 | (142.0, 98.0)=    0 
     27 | ( 94.0,177.0)=    0 
     28 | (118.0, 59.0)=    0 
     29 | (113.0,213.0)=    0 
     30 | (151.0, 60.0)=    0 
     31 | ( 94.0,148.0)=    0 
     32 | (131.0,207.0)=    0 
     33 | (287.0,160.0)=    0 
     34 | (102.0,214.0)=    0 
     35 | (268.0,106.0)=    0 
     36 | ( 52.0, 64.0)=    0 
     37 | (160.0,195.0)=    0 
     38 | (157.0,103.0)=    0 
     39 | (277.0,203.0)=    0 
     40 | (254.0,184.0)=    0 
     41 | (204.0, 37.0)=    0 
     42 | (277.0,214.0)=    0 
     43 | (203.0, 70.0)=    0 
     44 | (139.0, 58.0)=    0 
     45 | (288.0,215.0)=    0 
     46 | (162.0, 60.0)=    0 
     47 | (260.0,210.0)=    0 
     48 | ( 92.0,104.0)=    0 
     49 | (222.0,200.0)=    0 
     50 | (133.0,154.0)=    0 
     51 | (263.0,128.0)=    0 
     52 | ( 62.0,139.0)=    0 
     53 | (204.0,198.0)=    0 
     54 | ( 73.0,128.0)=    0 
     55 | (284.0,130.0)=    0 
     56 | (183.0, 47.0)=    0 
     57 | (292.0, 94.0)=    0 
     58 | ( 82.0,188.0)=    0 
     59 | ( 55.0,150.0)=    0 
     60 | ( 56.0,127.0)=    0 
     61 | (183.0,115.0)=    0 
     62 | (249.0,204.0)=    0 
     63 | (170.0,204.0)=    0 
     64 | (232.0,202.0)=    0 
     65 | ( 75.0,150.0)=    0 
     66 | (225.0, 57.0)=    0 
     67 | (111.0,131.0)=    0 
     68 | (184.0,101.0)=    0 
     69 | ( 76.0,138.0)=    0 
     70 | ( 43.0,116.0)=    0 
     71 | (137.0, 77.0)=    0 
     72 | (257.0, 87.0)=    0 
     73 | (255.0,165.0)=    0 
     74 | (225.0,212.0)=    0 
     75 | ( 32.0, 71.0)=    0 
     76 | (104.0,151.0)=    0 
     77 | (160.0,118.0)=    0 
     78 | ( 72.0,188.0)=    0 
     79 | (121.0,115.0)=    0 
     80 | (121.0,203.0)=    0 
     81 | (222.0, 71.0)=    0 
     82 | (237.0,212.0)=    0 
     83 | ( 95.0, 42.0)=    0 
     84 | (281.0,115.0)=    0 
     85 | ( 31.0,105.0)=    0 
     86 | (203.0,187.0)=    0 
     87 | (152.0, 90.0)=    0 
     88 | (168.0, 70.0)=    0 
     89 | ( 76.0,173.0)=    0 
     90 | (138.0, 88.0)=    0 
     91 | ( 88.0,213.0)=    0 
     92 | (184.0, 87.0)=    0 
     93 | ( 52.0,140.0)=    0 
     94 | (245.0,101.0)=    0 
     95 | (226.0, 40.0)=    0 
     96 | ( 82.0,198.0)=    0 
     97 | (215.0,190.0)=    0 
     98 | (169.0,129.0)=    0 
     99 | (134.0,197.0)=    0 
